"";"Model1";"Model2";"Sum";"effect";"lower";"upper";"rank"
"PRS.13";0,0474333933567063;0,0493042686647288;0,0967376620214351;0,0967376620214351;0,0954147534043779;0,0980605706384923;106
"PRS.12";0,044508254771973;0,0479148516974166;0,0924231064693896;0,0924231064693896;0,0900142786826392;0,09483193425614;105
"PRS.14";0,041029064277255;0,0439835239332874;0,0850125882105424;0,0850125882105424;0,0829234697530198;0,087101706668065;104
"PRS.70";0,039975127588746;0,0404462274750004;0,0804213550637464;0,0804213550637464;0,0800882371395597;0,080754472987933;103
"PRS.65";0,039866736181159;0,0404480055502082;0,0803147417313672;0,0803147417313672;0,0799037222188165;0,0807257612439179;102
"PRS.69";0,0399029688962694;0,0403918141413417;0,0802947830376111;0,0802947830376111;0,0799491172498697;0,0806404488253526;101
"PRS.66";0,0397926801184673;0,0402951554978654;0,0800878356163326;0,0800878356163326;0,079732531868181;0,0804431393644843;100
"PRS.67";0,0397119052999557;0,0402077288334998;0,0799196341334555;0,0799196341334555;0,0795690339506146;0,0802702343162964;99
"PRS.71";0,0396928231795756;0,0401791541187587;0,0798719772983343;0,0798719772983343;0,0795280893933371;0,0802158652033315;98
"PRS.9";0,0397210082312789;0,0400573576889612;0,0797783659202401;0,0797783659202401;0,0795405309378645;0,0800162009026157;97
"PRS.68";0,0396800137494009;0,0400592616572481;0,079739275406649;0,079739275406649;0,0794711066392594;0,0800074441740386;96
