"";"Model1";"Model2";"Sum"
"PRS.15";0,0345825038046111;0,0671383217004113;0,101720825505022
"PRS.16";0,036622114510357;0,0624788225637751;0,0991009370741321
"PRS.14";0,0291338829215652;0,064659756212619;0,0937936391341841
"PRS.11";0,0265813347295692;0,063697241406313;0,0902785761358822
"PRS.12";0,0241501558037116;0,0635996971241058;0,0877498529278174
"PRS.10";0,0260312643682531;0,0611006886210894;0,0871319529893425
"PRS.17";0,0315549807514731;0,055390783811585;0,0869457645630581
"PRS.74";0,0338440006138986;0,0452720180394468;0,0791160186533454
"PRS.73";0,0336498349925289;0,044981447482192;0,0786312824747209
"PRS.78";0,0339362106173297;0,0446766156786783;0,0786128262960079
"PRS.76";0,0338097189481956;0,0446796832211895;0,0784894021693851
"PRS.77";0,0337163388170542;0,0444341829718519;0,0781505217889062
"PRS.79";0,0335937769071638;0,0444439383591509;0,0780377152663147
"PRS.80";0,0335574964706348;0,0442565039876564;0,0778140004582912
"PRS.34";0,0328879936147691;0,0449083656268396;0,0777963592416087
"PRS.20";0,0321225836659494;0,0456031264316759;0,0777257100976254
"PRS.72";0,033357787702476;0,0440009799177015;0,0773587676201776
"PRS.75";0,0330949164627009;0,0440810787911384;0,0771759952538393
"PRS.28";0,0321774178355289;0,0449836963708599;0,0771611142063887
"PRS.71";0,0332195229399574;0,0439330811010732;0,0771526040410306
"PRS.87";0,033259274258304;0,0438373172668264;0,0770965915251304
"PRS.29";0,0318328556561988;0,045209015444822;0,0770418711010208
"PRS.85";0,0332003506931557;0,043665875150473;0,0768662258436287
"PRS.88";0,0333142591069321;0,0434907631637111;0,0768050222706433
"PRS.81";0,0331178500535262;0,043669271771704;0,0767871218252302
"PRS.86";0,0331579370897283;0,0435893331719873;0,0767472702617155
"PRS.39";0,0302076132362457;0,0464895940463949;0,0766972072826405
"PRS.38";0,0305782729021015;0,0459404062527861;0,0765186791548876
"PRS.83";0,0330475085249454;0,0434545677203288;0,0765020762452742
"PRS.45";0,0311648796792082;0,0453330703577851;0,0764979500369933
