"";"Model1";"Model2";"Sum"
"PRS.13";0,0474333933567063;0,0493042686647288;0,0967376620214351
"PRS.12";0,044508254771973;0,0479148516974166;0,0924231064693896
"PRS.14";0,041029064277255;0,0439835239332874;0,0850125882105424
"PRS.70";0,039975127588746;0,0404462274750004;0,0804213550637464
"PRS.65";0,039866736181159;0,0404480055502082;0,0803147417313672
"PRS.69";0,0399029688962694;0,0403918141413417;0,0802947830376111
"PRS.66";0,0397926801184673;0,0402951554978654;0,0800878356163326
"PRS.67";0,0397119052999557;0,0402077288334998;0,0799196341334555
"PRS.71";0,0396928231795756;0,0401791541187587;0,0798719772983343
"PRS.9";0,0397210082312789;0,0400573576889612;0,0797783659202401
"PRS.68";0,0396800137494009;0,0400592616572481;0,079739275406649
"PRS.72";0,0395548981138385;0,0400314811751699;0,0795863792890084
"PRS.64";0,039344127296037;0,0398846341593464;0,0792287614553834
"PRS.75";0,039274742482717;0,0397711585489233;0,0790459010316403
"PRS.73";0,0392607520189022;0,0397670783359803;0,0790278303548825
"PRS.63";0,0391882198124087;0,0397614227965541;0,0789496426089628
"PRS.74";0,0392141328447221;0,0397245668666282;0,0789386997113503
"PRS.46";0,0389059260870131;0,0399783249380135;0,0788842510250266
"PRS.15";0,0383914252001637;0,0403347772499233;0,078726202450087
"PRS.77";0,0390068614391633;0,0394012623658043;0,0784081238049676
"PRS.28";0,0390320476080646;0,0392535462407029;0,0782855938487675
"PRS.57";0,0389240561416667;0,039288422566119;0,0782124787077857
"PRS.76";0,0388819066227313;0,0393196055640918;0,0782015121868231
"PRS.58";0,0388278991364359;0,0391132214329488;0,0779411205693847
"PRS.61";0,0386861317509358;0,0392503057284738;0,0779364374794095
"PRS.59";0,0387739859244809;0,0391535621605878;0,0779275480850687
"PRS.78";0,0387208610252469;0,0391865372296111;0,077907398254858
"PRS.62";0,0386475707894405;0,0391921787616202;0,0778397495510607
"PRS.80";0,0386747880607164;0,0391411484491301;0,0778159365098465
"PRS.79";0,0386623101304071;0,0391125772579922;0,0777748873883993
"PRS.48";0,0383921319834143;0,0392570947897846;0,0776492267731989
"PRS.26";0,0387267509867051;0,0388750049572007;0,0776017559439058
"PRS.49";0,0383933020401971;0,0392043002909348;0,0775976023311319
"PRS.47";0,0383398075911273;0,0391891072253617;0,077528914816489
"PRS.82";0,0385449442030213;0,0389800859370793;0,0775250301401006
"PRS.81";0,0385152506518575;0,0389809576897368;0,0774962083415943
"PRS.51";0,0384216741201592;0,0389376902075468;0,0773593643277059
"PRS.53";0,0384452816574122;0,0389097309932679;0,0773550126506801
"PRS.2";0,0376043753028486;0,0396025729843185;0,0772069482871671
"PRS.60";0,0383923464538305;0,0388067761782604;0,0771991226320909
"PRS.56";0,0383773846967897;0,0386972728286367;0,0770746575254263
"PRS.44";0,0377759016010624;0,0392417237606972;0,0770176253617596
"PRS.83";0,0382475972424044;0,0386691873924931;0,0769167846348975
"PRS.84";0,038226979320131;0,0386621980596524;0,0768891773797834
"PRS.55";0,0382026125748389;0,0386569759200362;0,0768595884948751
"PRS.50";0,0380205807791444;0,0388181021479869;0,0768386829271313
"PRS.41";0,0379843942418366;0,0387889225623359;0,0767733168041724
"PRS.52";0,0380744175020332;0,0386820185470253;0,0767564360490585
"PRS.85";0,0380309246234203;0,0384684735770576;0,0764993982004779
"PRS.42";0,0377949382894155;0,0385876469109534;0,0763825852003689
"PRS.32";0,0376967410356205;0,0384796188891493;0,0761763599247698
"PRS.86";0,0378398354684098;0,0382887423725059;0,0761285778409157
"PRS.39";0,0375653057023635;0,0385115624916144;0,076076868193978
"PRS.54";0,037781984074114;0,0382634829142407;0,0760454669883547
"PRS.43";0,0374954502380662;0,0384398399420873;0,0759352901801535
"PRS.45";0,0373003220414428;0,0385476116312251;0,0758479336726679
"PRS.87";0,0377066980765401;0,0381389888071454;0,0758456868836855
"PRS.40";0,0375436840947199;0,0382024297985556;0,0757461138932754
"PRS.27";0,0378319594739325;0,037905842078226;0,0757378015521585
"PRS.88";0,0376420490062079;0,0380155085594959;0,0756575575657038
"PRS.30";0,037671248786835;0,0379825904724539;0,0756538392592889
"PRS.93";0,0376627534119233;0,0379701386277785;0,0756328920397019
"PRS.92";0,0376013159809723;0,0379173796991269;0,0755186956800992
"PRS.91";0,0375769936129961;0,0379233522422845;0,0755003458552806
"PRS.10";0,0368774265460954;0,0386222957779272;0,0754997223240226
"PRS.94";0,037598748297175;0,0378944297351208;0,0754931780322958
"PRS.90";0,0375448340444468;0,0378940431324655;0,0754388771769123
"PRS.95";0,0375246607059312;0,0378049728086581;0,0753296335145893
"PRS.89";0,0374485001953748;0,0378019003645646;0,0752504005599393
"PRS.106";0,0374643411640449;0,0377580781562707;0,0752224193203156
"PRS.98";0,037452193992037;0,0377368524045912;0,0751890463966283
"PRS.105";0,0374463030967394;0,0377388139176683;0,0751851170144077
"PRS.101";0,0374196503006702;0,0377064244560855;0,0751260747567557
"PRS.97";0,0374036376489764;0,0376985212164556;0,075102158865432
"PRS.102";0,0373987662938732;0,0376884091758848;0,075087175469758
"PRS.104";0,0373940858935238;0,0376920760431119;0,0750861619366357
"PRS.96";0,0373939895021082;0,0376801741995469;0,0750741637016551
"PRS.99";0,0373937925947001;0,0376766937458615;0,0750704863405616
"PRS.34";0,0371686396577024;0,0378847205496057;0,0750533602073081
"PRS.100";0,0373837722402431;0,0376680291369056;0,0750518013771487
"PRS.103";0,037377813929903;0,0376641848028186;0,0750419987327217
"PRS.29";0,0373475549646197;0,0376314228461132;0,0749789778107329
"PRS.11";0,0368043414478994;0,0378278032996584;0,0746321447475578
"PRS.35";0,0369586122982927;0,0375108703103042;0,0744694826085969
"PRS.25";0,0369616809505889;0,0372647617353917;0,0742264426859806
"PRS.24";0,036882171152625;0,0373052716638766;0,0741874428165016
"PRS.33";0,0367799645216286;0,0373440062270369;0,0741239707486654
"PRS.31";0,0365909926606942;0,0371983398085579;0,0737893324692521
